DateTime,Date,Hour,Day of the Week,Season,Daytime,Consumption (kW)
03/03/2021 23:00,03/03/2021,23:00:00,2,1,0,0.088
03/03/2021 23:15,03/03/2021,23:15:00,2,1,0,0.112
03/03/2021 23:30,03/03/2021,23:30:00,2,1,0,0.152
03/03/2021 23:45,03/03/2021,23:45:00,2,1,0,0.176
04/03/2021 00:00,04/03/2021,00:00:00,3,1,0,0.236
04/03/2021 00:15,04/03/2021,00:15:00,3,1,0,0.224
04/03/2021 00:30,04/03/2021,00:30:00,3,1,0,0.18
04/03/2021 00:45,04/03/2021,00:45:00,3,1,0,0.084
04/03/2021 01:00,04/03/2021,01:00:00,3,1,0,0.052
04/03/2021 01:15,04/03/2021,01:15:00,3,1,0,0.084
04/03/2021 01:30,04/03/2021,01:30:00,3,1,0,0.088
04/03/2021 01:45,04/03/2021,01:45:00,3,1,0,0.08
04/03/2021 02:00,04/03/2021,02:00:00,3,1,0,0.044
04/03/2021 02:15,04/03/2021,02:15:00,3,1,0,0.132
04/03/2021 02:30,04/03/2021,02:30:00,3,1,0,0.16
04/03/2021 02:45,04/03/2021,02:45:00,3,1,0,0.144
04/03/2021 03:00,04/03/2021,03:00:00,3,1,0,0.072
04/03/2021 03:15,04/03/2021,03:15:00,3,1,0,0.068
04/03/2021 03:30,04/03/2021,03:30:00,3,1,0,0.084
04/03/2021 03:45,04/03/2021,03:45:00,3,1,0,0.072
04/03/2021 04:00,04/03/2021,04:00:00,3,1,0,0.04
04/03/2021 04:15,04/03/2021,04:15:00,3,1,0,0.064
04/03/2021 04:30,04/03/2021,04:30:00,3,1,0,0.084
04/03/2021 04:45,04/03/2021,04:45:00,3,1,0,0.104
04/03/2021 05:00,04/03/2021,05:00:00,3,1,0,0.112
04/03/2021 05:15,04/03/2021,05:15:00,3,1,0,0.136
04/03/2021 05:30,04/03/2021,05:30:00,3,1,0,0.144
04/03/2021 05:45,04/03/2021,05:45:00,3,1,0,0.064
04/03/2021 06:00,04/03/2021,06:00:00,3,1,0,0.04
04/03/2021 06:15,04/03/2021,06:15:00,3,1,0,0.072
04/03/2021 06:30,04/03/2021,06:30:00,3,1,0,0.08
04/03/2021 06:45,04/03/2021,06:45:00,3,1,0,0.056
04/03/2021 07:00,04/03/2021,07:00:00,3,1,0,0.04
04/03/2021 07:15,04/03/2021,07:15:00,3,1,1,0.076
04/03/2021 07:30,04/03/2021,07:30:00,3,1,1,0.128
04/03/2021 07:45,04/03/2021,07:45:00,3,1,1,0.116
04/03/2021 08:00,04/03/2021,08:00:00,3,1,1,0.112
04/03/2021 08:15,04/03/2021,08:15:00,3,1,1,0.148
04/03/2021 08:30,04/03/2021,08:30:00,3,1,1,0.072
04/03/2021 08:45,04/03/2021,08:45:00,3,1,1,0.112
04/03/2021 09:00,04/03/2021,09:00:00,3,1,1,0.52
04/03/2021 09:15,04/03/2021,09:15:00,3,1,1,0.36
04/03/2021 09:30,04/03/2021,09:30:00,3,1,1,0.34
04/03/2021 09:45,04/03/2021,09:45:00,3,1,1,0.396
04/03/2021 10:00,04/03/2021,10:00:00,3,1,1,0.4
04/03/2021 10:15,04/03/2021,10:15:00,3,1,1,0.408
04/03/2021 10:30,04/03/2021,10:30:00,3,1,1,0.32
04/03/2021 10:45,04/03/2021,10:45:00,3,1,1,0.308
04/03/2021 11:00,04/03/2021,11:00:00,3,1,1,0.376
04/03/2021 11:15,04/03/2021,11:15:00,3,1,1,0.408
04/03/2021 11:30,04/03/2021,11:30:00,3,1,1,0.36
04/03/2021 11:45,04/03/2021,11:45:00,3,1,1,0.344
04/03/2021 12:00,04/03/2021,12:00:00,3,1,1,0.324
04/03/2021 12:15,04/03/2021,12:15:00,3,1,1,0.46
04/03/2021 12:30,04/03/2021,12:30:00,3,1,1,1.1
04/03/2021 12:45,04/03/2021,12:45:00,3,1,1,2.256
04/03/2021 13:00,04/03/2021,13:00:00,3,1,1,2.312
04/03/2021 13:15,04/03/2021,13:15:00,3,1,1,0.84
04/03/2021 13:30,04/03/2021,13:30:00,3,1,1,0.328
04/03/2021 13:45,04/03/2021,13:45:00,3,1,1,0.38
04/03/2021 14:00,04/03/2021,14:00:00,3,1,1,0.528
04/03/2021 14:15,04/03/2021,14:15:00,3,1,1,0.372
04/03/2021 14:30,04/03/2021,14:30:00,3,1,1,0.34
04/03/2021 14:45,04/03/2021,14:45:00,3,1,1,0.38
04/03/2021 15:00,04/03/2021,15:00:00,3,1,1,0.44
04/03/2021 15:15,04/03/2021,15:15:00,3,1,1,0.38
04/03/2021 15:30,04/03/2021,15:30:00,3,1,1,0.26
04/03/2021 15:45,04/03/2021,15:45:00,3,1,1,0.4
04/03/2021 16:00,04/03/2021,16:00:00,3,1,1,0.392
04/03/2021 16:15,04/03/2021,16:15:00,3,1,1,0.248
04/03/2021 16:30,04/03/2021,16:30:00,3,1,1,0.152
04/03/2021 16:45,04/03/2021,16:45:00,3,1,1,0.192
04/03/2021 17:00,04/03/2021,17:00:00,3,1,1,0.412
04/03/2021 17:15,04/03/2021,17:15:00,3,1,1,0.304
04/03/2021 17:30,04/03/2021,17:30:00,3,1,1,0.26
04/03/2021 17:45,04/03/2021,17:45:00,3,1,1,0.248
04/03/2021 18:00,04/03/2021,18:00:00,3,1,1,0.192
04/03/2021 18:15,04/03/2021,18:15:00,3,1,1,0.176
04/03/2021 18:30,04/03/2021,18:30:00,3,1,1,0.188
04/03/2021 18:45,04/03/2021,18:45:00,3,1,0,0.208
04/03/2021 19:00,04/03/2021,19:00:00,3,1,0,0.18
04/03/2021 19:15,04/03/2021,19:15:00,3,1,0,0.136
04/03/2021 19:30,04/03/2021,19:30:00,3,1,0,0.14
04/03/2021 19:45,04/03/2021,19:45:00,3,1,0,0.22
